"NearFut.avg_C.Diffs.10","NearFut.avg_C.mean.10","NearFut.avg_C.Diffs.90","NearFut.avg_C.mean.90","NearFut.avg_C.Diffs.Med","NearFut.avg_C.mean.med ","avg_C_rollmean.10","avg_C_rollmean.90","avg_C_rollmean.med"
NA,NA,NA,NA,NA,NA,8.62333333333333,11.5783333333333,10.0883333333333
NA,NA,NA,NA,NA,NA,8.32833333333333,11.5766666666667,9.775
NA,NA,NA,NA,NA,NA,8.29166666666667,11.6133333333333,9.86666666666667
NA,NA,NA,NA,NA,NA,8.46166666666667,11.6366666666667,9.76833333333333
NA,NA,NA,NA,NA,NA,8.365,11.4566666666667,9.69166666666667
NA,NA,NA,NA,NA,NA,8.10666666666667,11.5066666666667,9.445
NA,NA,NA,NA,NA,NA,8.265,11.575,9.545
NA,NA,NA,NA,NA,NA,8.18833333333333,11.6183333333333,9.58
NA,NA,NA,NA,NA,NA,8.13,11.5666666666667,9.58
NA,NA,NA,NA,NA,NA,8.14,11.4616666666667,9.51666666666667
NA,NA,NA,NA,NA,NA,8.07333333333333,11.4666666666667,9.59166666666667
NA,NA,NA,NA,NA,NA,7.93666666666667,11.4866666666667,9.71166666666667
NA,NA,NA,NA,NA,NA,7.85166666666667,11.56,9.65833333333333
NA,NA,NA,NA,NA,NA,7.905,11.85,9.64
NA,NA,NA,NA,NA,NA,7.863,11.0773333333333,NA
NA,NA,NA,NA,NA,NA,7.86366666666667,11.027,NA
NA,NA,NA,NA,NA,NA,7.64833333333333,11.1823333333333,NA
NA,NA,NA,NA,NA,NA,7.50533333333333,11.5023333333333,NA
NA,NA,NA,NA,NA,NA,7.555,11.8303333333333,NA
NA,NA,NA,NA,NA,NA,7.55233333333333,11.924,NA
NA,NA,NA,NA,NA,NA,7.66,11.8686666666667,NA
NA,NA,NA,NA,NA,NA,7.72433333333333,11.799,NA
NA,NA,NA,NA,NA,NA,7.701,12.0686666666667,NA
NA,NA,NA,NA,NA,NA,7.836,12.252,NA
NA,NA,NA,NA,NA,NA,8.014,12.182,NA
NA,NA,NA,NA,NA,NA,8.24666666666667,12.0353333333333,NA
NA,NA,NA,NA,NA,NA,8.526,12.027,NA
NA,NA,NA,NA,NA,NA,8.50033333333333,12.0206666666667,NA
NA,NA,NA,NA,NA,NA,8.4895,11.8328333333333,10.2633333333333
NA,NA,NA,NA,NA,NA,8.51933333333333,11.7828333333333,10.3108333333333
NA,NA,NA,NA,NA,NA,8.67466666666667,11.8378333333333,10.4808333333333
NA,NA,NA,NA,NA,NA,8.67033333333333,11.8478333333333,10.4575
-1.62340976958525,9.14729875576037,1.91414783410138,12.684856359447,0.449159354838709,NA,8.62433333333333,11.8973333333333,10.4716666666667
-1.62345935483871,9.24059594470046,1.95170193548387,12.815757235023,0.448234193548387,NA,8.5375,12.0223333333333,10.5041666666667
-1.62350894009217,9.33389313364055,1.98925603686636,12.9466581105991,0.447309032258064,NA,8.65183333333333,12.1491666666667,10.56
-1.62355852534562,9.42719032258065,2.02681013824885,13.0775589861751,0.446383870967741,NA,9.10333333333333,12.3178333333333,10.7983333333333
-1.62360811059908,9.52048751152074,2.06436423963134,13.2084598617512,0.445458709677419,NA,9.34483333333333,12.4975,10.9433333333333
-1.62365769585253,9.61378470046083,2.10191834101383,13.3393607373272,0.444533548387096,NA,9.5,12.62,10.9541666666667
-1.62370728110599,9.70708188940092,2.13947244239631,13.4702616129032,0.443608387096774,NA,9.7185,12.6815,11.0583333333333
-1.62375686635945,9.80037907834101,2.1770265437788,13.6011624884793,0.442683225806451,NA,9.8465,12.7271666666667,11.105
-1.6238064516129,9.89367626728111,2.21458064516129,13.7320633640553,0.441758064516129,NA,9.56366666666667,12.8115,11.1025
-1.62385603686636,9.9869734562212,2.25213474654378,13.8629642396313,0.440832903225806,NA,9.50283333333333,13.0096666666667,11.215
-1.62390562211982,10.0802706451613,2.28968884792627,13.9938651152074,0.439907741935483,NA,9.66283333333333,12.8731666666667,11.3133333333333
-1.62395520737327,10.1735678341014,2.32724294930876,14.1247659907834,0.438982580645161,NA,9.53883333333333,12.8916666666667,11.4775
