YEAR,MN,LEAD,CD,ForecastedMEAN,ClimatologicalMEAN,ForecastedSD,ClimatologicalSD,PO,Modifier,ForecastedSD_in,Prediction_in,Anom_CF,Anom_in,Anom_cm
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,-0.570971125490317,0.00506391118905434,2.24048676656938,0.678935383808903,-1.05951323343062,-2.69116361291378
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,-0.570971125490317,0.0028277252628496,2.60150737604454,0.760674671358054,-0.818492623955456,-2.07897126484686
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,-0.570971125490317,0.00522103647885012,2.75819154992249,0.749508573348501,-0.921808450077515,-2.34139346319689
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,-0.570971125490317,0.165853817864204,2.52659987536945,0.772660512345398,-0.743400124630549,-1.88823631656159
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,-0.570971125490317,0.117512491374991,1.89762649986231,0.762098995928638,-0.592373500137692,-1.50462869034974
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,-0.570971125490317,0.00388828961794826,0.983210639907777,0.687559888047396,-0.446789360092223,-1.13484497463425
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,-0.570971125490317,0.150777995168525,2.18369937344466,0.79119542516111,-0.576300626555338,-1.46380359145056
2020,5,13,97,4.72,4.72,0.3,0.3,0.49,-0.570971125490317,0.0856841553301825,3.98076121567032,0.843381613489474,-0.739238784329684,-1.8776665121974
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,-1.58911757553573,0.0856841553301825,2.82139023542649,0.597752168522562,-1.89860976457351,-4.8224688020167
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,-1.58911757553573,0.300223477732874,3.60651418598403,0.61231140678846,-2.28348581401597,-5.80005396760056
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,-1.58911757553573,0.36626063819515,3.34629679272542,0.643518613985658,-1.85370320727458,-4.70840614647743
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,-1.58911757553573,0.0492129128664663,1.62676061372545,0.444470113039741,-2.03323938627455,-5.16442804113736
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,-1.58911757553573,0.00688577344581892,1.2006091477097,0.36054328760051,-2.1293908522903,-5.40865276481736
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,-1.58911757553573,0.00506391118905434,0.996272183834323,0.301900661767977,-2.30372781616568,-5.85146865306082
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,-1.58911757553573,0.0028277252628496,1.14851171665867,0.335822139373879,-2.27148828334133,-5.76958023968699
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,-1.58911757553573,0.00522103647885012,1.3817988723275,0.375488824002039,-2.2982011276725,-5.83743086428814
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,-1.58911757553573,0.165853817864204,1.42290634927889,0.435139556354402,-1.84709365072111,-4.69161787283161
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,-1.58911757553573,0.117512491374991,0.991092039618047,0.398028931573513,-1.49890796038195,-3.80722621937016
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,-1.58911757553573,0.00388828961794826,0.446456050955427,0.312207028640159,-0.983543949044573,-2.49820163057322
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,-1.58911757553573,0.150777995168525,1.31233764220007,0.475484652971039,-1.44766235779993,-3.67706238881183
2020,5,13,97,4.72,4.72,0.3,0.3,0.49,-1.58911757553573,0.0856841553301825,2.82139023542649,0.597752168522562,-1.89860976457351,-4.8224688020167
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,0.45063445296342,0.0856841553301825,5.34881890842415,1.13322434500512,0.628818908424154,1.59720002739735
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,0.45063445296342,0.300223477732874,6.61453359588049,1.12301079726324,0.724533595880486,1.84031533353644
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,0.45063445296342,0.36626063819515,5.79776200350303,1.11495423144289,0.597762003503027,1.51831548889769
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,0.45063445296342,0.0492129128664663,4.50797844091864,1.23168809861165,0.847978440918638,2.15386523993334
2020,5,5,97,3.74,3.33,0.2481,0.25,0.28,0.45063445296342,0.00688577344581892,4.87894309002884,1.46514807508373,1.54894309002883,3.93431544867324
2020,5,6,97,3.3,3.3,0.24,0.24,0.27,0.45063445296342,0.00506391118905434,4.36360817597146,1.32230550787014,1.06360817597146,2.70156476696751
2020,5,7,97,3.86,3.42,0.2306,0.24,0.25,0.45063445296342,0.0028277252628496,5.13838362654528,1.50245135279102,1.71838362654528,4.364694411425
2020,5,8,97,3.86,3.68,0.2296,0.23,0.28,0.45063445296342,0.00522103647885012,4.92959366377827,1.33956349559192,1.24959366377827,3.17396790599679
2020,5,9,97,3.28,3.27,0.4,0.4,0.51,0.45063445296342,0.165853817864204,3.94239555918205,1.20562555326668,0.672395559182046,1.7078847203224
2020,5,10,97,2.54,2.49,0.3578,0.36,0.48,0.45063445296342,0.117512491374991,3.11596454679225,1.25139138425391,0.625964546792248,1.58994994885231
2020,5,11,97,1.43,1.43,0.2,0.2,0.29,0.45063445296342,0.00388828961794826,1.87205412906635,1.30912876158486,0.442054129066349,1.12281748782853
2020,5,12,97,2.76,2.76,0.36,0.36,0.54,0.45063445296342,0.150777995168525,3.25829083801772,1.18054015870207,0.498290838017724,1.26565872856502
2020,5,13,97,4.72,4.72,0.3,0.3,0.49,0.45063445296342,0.0856841553301825,5.34881890842415,1.13322434500512,0.628818908424154,1.59720002739735
2020,5,1,97,4.72,4.72,0.3,0.3,0.49,-0.127206756712065,0.0856841553301825,4.54974657390737,0.963929358878681,-0.170253426092627,-0.432443702275272
2020,5,2,97,5.89,5.89,0.48,0.48,0.61,-0.127206756712065,0.300223477732874,5.69144727345132,0.966289859669154,-0.198552726548684,-0.504323925433657
2020,5,3,97,5.22,5.2,0.5051,0.51,0.68,-0.127206756712065,0.36626063819515,5.06045411464664,0.973164252816661,-0.139545885353363,-0.354446548797542
2020,5,4,97,3.72,3.66,0.2998,0.3,0.4,-0.127206756712065,0.0492129128664663,3.51382866273388,0.960062476156798,-0.146171337266118,-0.37127519665594
